"Name","HexRangeStart","HexRangeEnd","DecimalRangeStart","DecimalRangeEnd"
"Basic Latin","0000","007F","0","127"
"Latin-1 Supplement","0080","00FF","128","255"
"Latin Extended-A","0100","017F","256","383"
"Latin Extended-B","0180","024F","384","591"
"IPA Extensions","0250","02AF","592","687"
"Spacing Modifier Letters","02B0","02FF","688","767"
"Combining Diacritical Marks","0300","036F","768","879"
"Greek and Coptic","0370","03FF","880","1023"
"Cyrillic","0400","04FF","1024","1279"
"Cyrillic Supplement","0500","052F","1280","1327"
"Armenian","0530","058F","1328","1423"
"Hebrew","0590","05FF","1424","1535"
"Arabic","0600","06FF","1536","1791"
"Syriac","0700","074F","1792","1871"
"Arabic Supplement","0750","077F","1872","1919"
"Thaana","0780","07BF","1920","1983"
"NKo","07C0","07FF","1984","2047"
"Samaritan","0800","083F","2048","2111"
"Mandaic","0840","085F","2112","2143"
"Syriac Supplement","0860","086F","2144","2159"
"Arabic Extended-A","08A0","08FF","2208","2303"
"Devanagari","0900","097F","2304","2431"
"Bengali","0980","09FF","2432","2559"
"Gurmukhi","0A00","0A7F","2560","2687"
"Gujarati","0A80","0AFF","2688","2815"
"Oriya","0B00","0B7F","2816","2943"
"Tamil","0B80","0BFF","2944","3071"
"Telugu","0C00","0C7F","3072","3199"
"Kannada","0C80","0CFF","3200","3327"
"Malayalam","0D00","0D7F","3328","3455"
"Sinhala","0D80","0DFF","3456","3583"
"Thai","0E00","0E7F","3584","3711"
"Lao","0E80","0EFF","3712","3839"
"Tibetan","0F00","0FFF","3840","4095"
"Myanmar","1000","109F","4096","4255"
"Georgian","10A0","10FF","4256","4351"
"Hangul Jamo","1100","11FF","4352","4607"
"Ethiopic","1200","137F","4608","4991"
"Ethiopic Supplement","1380","139F","4992","5023"
"Cherokee","13A0","13FF","5024","5119"
"Unified Canadian Aboriginal Syllabics","1400","167F","5120","5759"
"Ogham","1680","169F","5760","5791"
"Runic","16A0","16FF","5792","5887"
"Tagalog","1700","171F","5888","5919"
"Hanunoo","1720","173F","5920","5951"
"Buhid","1740","175F","5952","5983"
"Tagbanwa","1760","177F","5984","6015"
